insert into car (id, make, model, price) values (1, 'Hyundai', 'Tucson', '39593.49');
insert into car (id, make, model, price) values (184, 'Hyundai', 'Santa Fe', '13040.09');
insert into car (id, make, model, price) values (185, 'Mitsubishi', 'Galant', '99464.09');
insert into car (id, make, model, price) values (186, 'Buick', 'Lucerne', '98207.77');
insert into car (id, make, model, price) values (187, 'Toyota', 'Tacoma Xtra', '63751.87');
insert into car (id, make, model, price) values (188, 'GMC', 'EV1', '12064.65');
insert into car (id, make, model, price) values (189, 'Hummer', 'H2', '13260.65');
insert into car (id, make, model, price) values (190, 'Lincoln', 'Town Car', '66583.26');
insert into car (id, make, model, price) values (191, 'Saturn', 'L-Series', '60562.71');
insert into car (id, make, model, price) values (192, 'Chevrolet', 'Express 2500', '68607.21');
insert into car (id, make, model, price) values (193, 'Buick', 'Century', '89667.02');
insert into car (id, make, model, price) values (194, 'GMC', 'Savana 2500', '29228.37');
insert into car (id, make, model, price) values (195, 'Maserati', '228', '90985.25');
insert into car (id, make, model, price) values (196, 'Porsche', 'Panamera', '46070.22');
insert into car (id, make, model, price) values (197, 'BMW', '3 Series', '69700.06');
insert into car (id, make, model, price) values (198, 'Suzuki', 'Equator', '81875.67');
insert into car (id, make, model, price) values (199, 'Dodge', 'Ramcharger', '55330.99');
insert into car (id, make, model, price) values (200, 'Maybach', '57', '24539.34');
insert into car (id, make, model, price) values (201, 'Subaru', 'Baja', '28166.52');
insert into car (id, make, model, price) values (202, 'Jeep', 'Grand Cherokee', '95598.18');
insert into car (id, make, model, price) values (203, 'Land Rover', 'Discovery', '73014.14');
insert into car (id, make, model, price) values (204, 'Lexus', 'LX', '56700.87');
insert into car (id, make, model, price) values (205, 'Nissan', 'Versa', '50873.21');
insert into car (id, make, model, price) values (206, 'Toyota', 'T100', '31858.45');
insert into car (id, make, model, price) values (207, 'Volkswagen', 'Jetta', '81393.48');
insert into car (id, make, model, price) values (208, 'Aston Martin', 'V8 Vantage', '18064.74');
insert into car (id, make, model, price) values (209, 'Dodge', 'Ram 2500', '91198.34');
insert into car (id, make, model, price) values (210, 'Ford', 'Galaxie', '86300.98');
insert into car (id, make, model, price) values (211, 'Volvo', '240', '27924.97');
insert into car (id, make, model, price) values (212, 'GMC', 'Savana 3500', '75914.48');
insert into car (id, make, model, price) values (213, 'Audi', 'Allroad', '55005.98');
insert into car (id, make, model, price) values (214, 'BMW', 'X5', '31659.20');
insert into car (id, make, model, price) values (215, 'Dodge', 'Ram 2500', '61618.29');
insert into car (id, make, model, price) values (216, 'Buick', 'LeSabre', '46144.69');
insert into car (id, make, model, price) values (217, 'Buick', 'LeSabre', '22237.43');
insert into car (id, make, model, price) values (218, 'Chrysler', 'Pacifica', '42091.27');
insert into car (id, make, model, price) values (219, 'Mercedes-Benz', 'CLK-Class', '16562.99');
insert into car (id, make, model, price) values (220, 'Volvo', 'S40', '51014.71');
insert into car (id, make, model, price) values (221, 'Lotus', 'Esprit', '28721.82');
insert into car (id, make, model, price) values (222, 'BMW', '7 Series', '65125.43');
insert into car (id, make, model, price) values (223, 'Chrysler', 'Crossfire Roadster', '13028.12');
insert into car (id, make, model, price) values (224, 'Dodge', 'Dakota Club', '10886.86');
insert into car (id, make, model, price) values (225, 'Honda', 'Passport', '85066.44');
insert into car (id, make, model, price) values (226, 'GMC', 'Savana 3500', '82422.06');
insert into car (id, make, model, price) values (227, 'Mazda', 'B-Series Plus', '20639.53');
insert into car (id, make, model, price) values (228, 'Audi', 'V8', '29498.17');
insert into car (id, make, model, price) values (229, 'Toyota', 'Highlander', '47820.96');
insert into car (id, make, model, price) values (230, 'Buick', 'Roadmaster', '86374.99');
insert into car (id, make, model, price) values (231, 'Mazda', 'Miata MX-5', '95153.34');
insert into car (id, make, model, price) values (232, 'Nissan', '240SX', '88289.91');
insert into car (id, make, model, price) values (233, 'BMW', '600', '89948.33');
insert into car (id, make, model, price) values (234, 'Toyota', 'Tacoma', '15208.35');
insert into car (id, make, model, price) values (235, 'Isuzu', 'Axiom', '44526.76');
insert into car (id, make, model, price) values (236, 'Pontiac', 'Grand Prix', '54418.10');
insert into car (id, make, model, price) values (237, 'Toyota', 'Camry', '12786.01');
insert into car (id, make, model, price) values (238, 'Honda', 'Prelude', '14732.97');
insert into car (id, make, model, price) values (239, 'Ford', 'Escort', '54148.45');
insert into car (id, make, model, price) values (240, 'Mazda', 'CX-9', '47455.36');
insert into car (id, make, model, price) values (241, 'Mazda', 'RX-7', '61040.71');
insert into car (id, make, model, price) values (242, 'Chevrolet', 'Monte Carlo', '56604.41');
insert into car (id, make, model, price) values (243, 'GMC', 'Sonoma Club Coupe', '75636.06');
insert into car (id, make, model, price) values (244, 'Audi', 'A3', '44864.58');
insert into car (id, make, model, price) values (245, 'Maserati', 'GranTurismo', '13266.14');
insert into car (id, make, model, price) values (246, 'GMC', 'Savana 3500', '91303.79');
insert into car (id, make, model, price) values (247, 'Chevrolet', 'Malibu', '64760.44');
insert into car (id, make, model, price) values (248, 'Ford', 'Edge', '42122.77');
insert into car (id, make, model, price) values (249, 'Ford', 'Explorer Sport Trac', '65995.34');
insert into car (id, make, model, price) values (250, 'Ford', 'Escort', '55346.68');
insert into car (id, make, model, price) values (251, 'Jeep', 'Commander', '30046.07');
insert into car (id, make, model, price) values (252, 'Chevrolet', 'Suburban 2500', '34262.15');
insert into car (id, make, model, price) values (253, 'Mazda', 'Miata MX-5', '73611.69');
insert into car (id, make, model, price) values (254, 'Toyota', 'Corolla', '84360.82');
insert into car (id, make, model, price) values (255, 'Oldsmobile', 'Achieva', '22100.76');
insert into car (id, make, model, price) values (256, 'Honda', 'Accord', '93610.87');
insert into car (id, make, model, price) values (257, 'Lexus', 'LX', '65787.83');
insert into car (id, make, model, price) values (258, 'Buick', 'Riviera', '86274.73');
insert into car (id, make, model, price) values (259, 'Honda', 'Civic', '71283.52');
insert into car (id, make, model, price) values (260, 'Ford', 'Ranger', '78648.71');
insert into car (id, make, model, price) values (261, 'Chevrolet', 'Corvette', '50318.63');
insert into car (id, make, model, price) values (262, 'BMW', '5 Series', '44712.35');
insert into car (id, make, model, price) values (263, 'Acura', 'TL', '37299.04');
insert into car (id, make, model, price) values (264, 'Volkswagen', 'Jetta', '54576.94');
insert into car (id, make, model, price) values (265, 'Nissan', 'Xterra', '23953.71');
insert into car (id, make, model, price) values (266, 'Volvo', 'S40', '20347.19');
insert into car (id, make, model, price) values (267, 'Mercury', 'Grand Marquis', '47302.25');
insert into car (id, make, model, price) values (268, 'Pontiac', 'Bonneville', '24963.34');
insert into car (id, make, model, price) values (269, 'Infiniti', 'G', '86564.46');
insert into car (id, make, model, price) values (270, 'Hyundai', 'XG350', '75906.38');
insert into car (id, make, model, price) values (271, 'Toyota', 'FJ Cruiser', '72454.71');
insert into car (id, make, model, price) values (272, 'Cadillac', 'Eldorado', '83608.42');
insert into car (id, make, model, price) values (273, 'Subaru', 'SVX', '80126.44');
insert into car (id, make, model, price) values (274, 'Lamborghini', 'Gallardo', '50651.38');
insert into car (id, make, model, price) values (275, 'Lexus', 'IS', '27001.34');
insert into car (id, make, model, price) values (276, 'Lexus', 'LX', '21700.92');
insert into car (id, make, model, price) values (277, 'Chrysler', 'Prowler', '47603.81');
insert into car (id, make, model, price) values (278, 'Oldsmobile', 'Bravada', '83670.70');
insert into car (id, make, model, price) values (279, 'Ford', 'Festiva', '96956.94');
insert into car (id, make, model, price) values (280, 'Dodge', 'Ram 3500', '38263.56');
insert into car (id, make, model, price) values (281, 'Saab', '9-3', '63802.56');
insert into car (id, make, model, price) values (282, 'Lincoln', 'MKX', '40764.63');
insert into car (id, make, model, price) values (283, 'Chevrolet', 'Lumina APV', '69998.10');
insert into car (id, make, model, price) values (284, 'Mercury', 'Tracer', '35190.33');
insert into car (id, make, model, price) values (285, 'Mercedes-Benz', 'S-Class', '53561.31');
insert into car (id, make, model, price) values (286, 'Toyota', 'Tacoma', '67210.16');
insert into car (id, make, model, price) values (287, 'Ford', 'Econoline E250', '14154.50');
insert into car (id, make, model, price) values (288, 'Mercedes-Benz', 'G-Class', '86090.54');
insert into car (id, make, model, price) values (289, 'Mercedes-Benz', 'E-Class', '63652.64');
insert into car (id, make, model, price) values (290, 'Lamborghini', 'Diablo', '55455.81');
insert into car (id, make, model, price) values (291, 'Jaguar', 'XK Series', '22955.65');
insert into car (id, make, model, price) values (292, 'Porsche', 'Cayenne', '84000.51');
insert into car (id, make, model, price) values (293, 'Mercury', 'Tracer', '45182.46');
insert into car (id, make, model, price) values (294, 'GMC', 'Sierra Hybrid', '76686.19');
insert into car (id, make, model, price) values (295, 'GMC', 'Yukon', '54750.23');
insert into car (id, make, model, price) values (296, 'Plymouth', 'Laser', '69858.45');
insert into car (id, make, model, price) values (297, 'Acura', 'MDX', '46812.17');
insert into car (id, make, model, price) values (298, 'Ford', 'Ranger', '34213.17');
insert into car (id, make, model, price) values (299, 'Toyota', 'Xtra', '68085.34');
insert into car (id, make, model, price) values (300, 'Mercedes-Benz', '300D', '67810.96');
insert into car (id, make, model, price) values (301, 'Audi', 'S4', '72823.90');
insert into car (id, make, model, price) values (302, 'Mercury', 'Mystique', '96288.58');
insert into car (id, make, model, price) values (303, 'Lexus', 'GS', '58971.20');
insert into car (id, make, model, price) values (304, 'Chrysler', 'LeBaron', '35104.74');
insert into car (id, make, model, price) values (305, 'Mercury', 'Tracer', '72124.51');
insert into car (id, make, model, price) values (306, 'Chevrolet', 'Malibu', '40031.56');
insert into car (id, make, model, price) values (307, 'Mitsubishi', 'Galant', '71723.92');
insert into car (id, make, model, price) values (308, 'Ford', 'Probe', '39769.79');
insert into car (id, make, model, price) values (309, 'GMC', 'Savana 3500', '62120.65');
insert into car (id, make, model, price) values (310, 'Audi', 'Allroad', '97171.34');
insert into car (id, make, model, price) values (311, 'Land Rover', 'Discovery', '38271.11');
insert into car (id, make, model, price) values (312, 'Infiniti', 'IPL G', '58955.04');
insert into car (id, make, model, price) values (313, 'BMW', 'X5', '33861.91');
insert into car (id, make, model, price) values (314, 'Suzuki', 'Reno', '38623.19');
insert into car (id, make, model, price) values (315, 'Nissan', 'Quest', '28713.03');
insert into car (id, make, model, price) values (316, 'Saab', '9000', '66439.06');
insert into car (id, make, model, price) values (317, 'Ford', 'Explorer', '29874.64');
insert into car (id, make, model, price) values (318, 'Mercedes-Benz', 'SLS AMG', '26646.03');
insert into car (id, make, model, price) values (319, 'Chrysler', 'Concorde', '93850.03');
insert into car (id, make, model, price) values (320, 'Oldsmobile', '88', '51837.45');
insert into car (id, make, model, price) values (321, 'Mercury', 'Sable', '41359.10');
insert into car (id, make, model, price) values (322, 'Hyundai', 'Accent', '44175.67');
insert into car (id, make, model, price) values (323, 'Mitsubishi', 'Precis', '76237.92');
insert into car (id, make, model, price) values (324, 'Ford', 'Taurus', '99593.09');
insert into car (id, make, model, price) values (325, 'Chevrolet', 'Tahoe', '74654.46');
insert into car (id, make, model, price) values (326, 'Volvo', 'S60', '50174.20');
insert into car (id, make, model, price) values (327, 'Mazda', 'Mazdaspeed6', '36327.63');
insert into car (id, make, model, price) values (328, 'Mitsubishi', '3000GT', '45212.38');
insert into car (id, make, model, price) values (329, 'Mercedes-Benz', 'W201', '11360.83');
insert into car (id, make, model, price) values (330, 'Audi', 'A5', '52798.53');
insert into car (id, make, model, price) values (331, 'Buick', 'Skylark', '99828.47');
insert into car (id, make, model, price) values (332, 'Acura', 'SLX', '51567.11');
insert into car (id, make, model, price) values (333, 'Ford', 'Ranger', '78426.25');
insert into car (id, make, model, price) values (334, 'Land Rover', 'LR3', '32812.64');
insert into car (id, make, model, price) values (335, 'Oldsmobile', 'Achieva', '13459.80');
insert into car (id, make, model, price) values (336, 'Suzuki', 'Swift', '96246.66');
insert into car (id, make, model, price) values (337, 'Lexus', 'GX', '58234.23');
insert into car (id, make, model, price) values (338, 'Cadillac', 'XLR-V', '10579.34');
insert into car (id, make, model, price) values (339, 'GMC', 'Envoy XL', '54412.16');
insert into car (id, make, model, price) values (340, 'Mercury', 'Mountaineer', '93397.34');
insert into car (id, make, model, price) values (341, 'MINI', 'Clubman', '62750.65');
insert into car (id, make, model, price) values (342, 'Jeep', 'Wrangler', '24453.58');
insert into car (id, make, model, price) values (343, 'Lexus', 'RX', '62718.94');
insert into car (id, make, model, price) values (344, 'Dodge', 'Grand Caravan', '81563.29');
insert into car (id, make, model, price) values (345, 'Mitsubishi', 'Galant', '39374.72');
insert into car (id, make, model, price) values (346, 'Porsche', '928', '39235.14');
insert into car (id, make, model, price) values (347, 'Cadillac', 'CTS', '78148.99');
insert into car (id, make, model, price) values (348, 'Ford', 'Bronco', '71249.46');
insert into car (id, make, model, price) values (349, 'Cadillac', 'SRX', '51045.66');
insert into car (id, make, model, price) values (350, 'Dodge', 'Dakota', '59950.91');
insert into car (id, make, model, price) values (351, 'GMC', 'Vandura G2500', '24701.69');
insert into car (id, make, model, price) values (352, 'Audi', 'A8', '26545.91');
insert into car (id, make, model, price) values (353, 'Volkswagen', 'Corrado', '45817.56');
insert into car (id, make, model, price) values (354, 'Cadillac', 'Allante', '41811.32');
insert into car (id, make, model, price) values (355, 'Nissan', '200SX', '92624.89');
insert into car (id, make, model, price) values (356, 'Mitsubishi', 'Endeavor', '47997.84');
insert into car (id, make, model, price) values (357, 'Chevrolet', 'Camaro', '55152.08');
insert into car (id, make, model, price) values (358, 'Mazda', 'MPV', '84099.53');
insert into car (id, make, model, price) values (359, 'Lexus', 'GX', '66461.97');
insert into car (id, make, model, price) values (360, 'Cadillac', 'STS', '27363.53');
insert into car (id, make, model, price) values (361, 'BMW', 'X5', '60614.32');
insert into car (id, make, model, price) values (362, 'Mercury', 'Topaz', '58698.49');
insert into car (id, make, model, price) values (363, 'Volkswagen', 'Golf', '72397.13');
insert into car (id, make, model, price) values (364, 'Mitsubishi', 'Tundra', '96218.43');
